打率,試合,打席数,打数,安打,打点,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
0.269,126,450,372,100,36,53,10,64,13,11,0.373,0.384,0.757,4.89,4.77
0.277,126,447,376,104,63,58,10,81,3,6,0.387,0.439,0.826,6.38,6.17
0.314,103,444,382,120,42,52,7,63,0,10,0.403,0.416,0.819,6.32,6.06
0.295,120,546,478,141,55,46,7,58,12,18,0.363,0.381,0.744,4.65,4.5
0.28,120,529,432,121,104,91,4,111,0,15,0.408,0.56,0.969,7.84,7.74
0.316,118,525,462,146,30,47,4,51,9,5,0.382,0.381,0.763,5.64,5.41
0.306,115,523,422,129,39,92,2,84,4,5,0.43,0.396,0.825,7.48,7.28
0.293,120,519,474,139,45,30,7,61,7,4,0.344,0.416,0.759,5.46,5.27
0.27,120,518,455,123,21,38,1,80,22,6,0.327,0.33,0.656,3.78,3.72
0.307,120,515,424,130,86,87,3,115,0,8,0.427,0.585,1.012,9.05,8.67
0.342,119,515,427,146,86,84,1,103,0,2,0.449,0.623,1.071,10.88,10.41
0.3,118,514,430,129,75,72,9,73,0,15,0.409,0.544,0.953,7.67,7.46
0.239,119,506,440,105,108,55,2,109,0,19,0.32,0.491,0.811,4.95,5.22
0.247,120,500,433,107,43,54,4,87,7,7,0.335,0.353,0.688,4.29,4.3
0.275,118,500,440,121,97,55,5,85,0,10,0.362,0.545,0.907,6.93,6.8
0.243,118,500,440,107,73,38,5,90,11,7,0.307,0.42,0.727,4.26,4.4
0.249,120,499,422,105,49,52,8,97,15,6,0.341,0.365,0.706,4.42,4.39
0.35,120,492,408,143,64,72,8,29,0,6,0.453,0.512,0.966,9.23,8.75
0.247,120,491,442,109,29,27,6,80,15,4,0.298,0.348,0.647,3.57,3.51
0.284,120,491,423,120,77,63,0,101,3,3,0.375,0.553,0.928,7.52,7.34
0.323,109,482,433,140,53,45,1,85,1,4,0.387,0.527,0.913,7.53,7.22
0.275,115,481,455,125,68,25,1,105,0,11,0.314,0.407,0.721,4.27,4.19
0.252,114,480,428,108,78,44,3,103,0,12,0.323,0.47,0.793,5.08,5.23
0.289,115,479,412,119,65,62,0,85,1,9,0.379,0.5,0.879,6.83,6.67
0.288,116,471,423,122,85,41,5,96,1,15,0.357,0.56,0.918,6.54,6.39
0.281,114,471,406,114,53,48,7,71,6,8,0.363,0.392,0.755,5.36,5.31
0.34,108,467,371,126,60,89,2,72,0,6,0.465,0.469,0.934,9.2,8.8
0.283,117,465,414,117,39,43,0,81,5,9,0.348,0.377,0.725,4.7,4.65
0.267,109,462,409,109,82,34,9,48,0,17,0.329,0.447,0.776,4.75,4.91
0.221,113,460,393,87,54,62,1,106,0,10,0.326,0.321,0.647,3.63,3.75
0.301,113,460,429,129,53,24,4,29,0,15,0.341,0.464,0.805,5.4,5.23
0.257,115,459,421,108,61,30,1,92,5,21,0.306,0.409,0.715,3.58,3.57
0.246,114,458,398,98,36,47,7,60,3,8,0.334,0.354,0.688,4.09,4.17
0.251,112,454,378,95,39,55,5,86,12,1,0.351,0.37,0.721,4.9,4.96
0.279,111,451,401,112,58,41,4,91,3,12,0.35,0.436,0.787,5.35,5.26
0.328,106,451,402,132,69,42,4,58,0,13,0.395,0.532,0.927,7.49,7.25
0.234,104,448,359,84,65,70,17,100,0,10,0.382,0.485,0.866,6.46,6.54
0.245,113,447,376,92,67,59,8,93,0,11,0.356,0.394,0.749,4.93,5.08
0.268,111,445,407,109,57,32,4,150,0,2,0.326,0.482,0.807,5.84,5.72
0.257,110,443,377,97,64,61,3,106,0,11,0.363,0.451,0.814,5.68,5.7
0.305,108,438,394,120,46,39,2,70,0,13,0.368,0.426,0.794,5.52,5.28
0.288,112,437,378,109,31,42,4,59,11,5,0.364,0.381,0.745,5.05,4.93
0.228,116,431,395,90,46,32,1,76,0,2,0.285,0.382,0.668,3.9,4.01
0.271,106,429,376,102,41,35,1,68,16,9,0.334,0.423,0.757,4.7,4.58
0.272,111,428,372,101,67,53,1,77,0,10,0.362,0.427,0.79,5.52,5.42
0.277,108,425,404,112,67,17,1,72,0,11,0.306,0.416,0.722,4.22,4.09
0.317,107,425,357,113,51,62,5,51,0,6,0.424,0.557,0.981,8.87,8.46
0.271,100,413,362,98,50,39,3,47,3,4,0.341,0.367,0.709,4.75,4.83
0.251,104,405,358,90,38,38,3,67,2,7,0.325,0.38,0.705,4.32,4.4
0.272,103,404,356,97,63,38,8,108,0,8,0.354,0.539,0.893,6.61,6.54
0.273,104,402,377,103,30,13,9,52,1,9,0.312,0.329,0.641,3.3,3.2
0.205,102,401,322,66,73,64,13,100,0,6,0.357,0.45,0.807,5.65,5.89
0.274,112,389,354,97,32,30,3,60,2,6,0.336,0.398,0.734,4.87,4.71
0.254,94,384,334,85,52,48,0,83,0,6,0.346,0.419,0.766,5.15,5.14
0.243,99,379,329,80,45,45,3,88,0,13,0.338,0.422,0.76,4.61,4.72
0.256,100,377,328,84,55,40,4,87,0,11,0.34,0.457,0.797,5.11,5.23
0.296,143,643,570,169,45,53,12,70,5,5,0.367,0.425,0.791,5.88,5.69
0.277,143,628,552,153,53,52,6,51,13,12,0.343,0.377,0.72,4.58,4.57
0.303,143,615,545,165,72,61,5,73,0,14,0.376,0.466,0.842,6.32,6.13
0.283,143,615,506,143,67,76,10,90,15,8,0.382,0.415,0.797,5.79,5.74
0.278,143,615,500,139,112,106,6,133,0,12,0.408,0.566,0.974,8.02,7.94
0.313,140,612,569,178,50,33,4,58,4,6,0.354,0.441,0.795,5.95,5.67
0.257,141,599,486,125,96,97,8,87,2,15,0.385,0.477,0.863,6.39,6.38
0.275,143,596,531,146,77,53,2,90,3,9,0.339,0.465,0.804,5.64,5.63
